accession	message	sample_name	sample_title	bioproject_accession	organism	strain	isolate	breed	cultivar	ecotype	age	dev_stage	collection_date	geo_loc_name	sex	tissue	biomaterial_provider	birth_date	birth_location	breeding_history	breeding_method	cell_line	cell_subtype	cell_type	collected_by	culture_collection	death_date	disease	disease_stage	genotype	growth_protocol	health_state	isolation_source	lat_lon	phenotype	sample_type	specimen_voucher	store_cond	stud_book_number	treatment	description	gmgi_sequence_id
SAMN52748461	Successfully loaded	Mae-356	150748		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1.65	Immature	2022-11-07	USA: Gulf of Maine	female	fin clip																									Mae-356	Mae-356
SAMN52748462	Successfully loaded	Mae-368	155458		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.65	Resting	2022-11-09	USA: Gulf of Maine	male	fin clip																									Mae-368	Mae-368
SAMN52748463	Successfully loaded	Mae-371	156196		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1.65	Resting	2022-11-09	USA: Gulf of Maine	female	fin clip																									Mae-371	Mae-371
SAMN52748464	Successfully loaded	Mae-378	157927		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1.65	Immature	2022-11-10	USA: Gulf of Maine	male	fin clip																									Mae-378	Mae-378
SAMN52748465	Successfully loaded	Mae-379	158002		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	6.65	Resting	2022-11-10	USA: Gulf of Maine	female	fin clip																									Mae-379	Mae-379
SAMN52748466	Successfully loaded	Mae-384	158126		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.65	Resting	2022-11-10	USA: Gulf of Maine	male	fin clip																									Mae-384	Mae-384
SAMN52748467	Successfully loaded	Mae-390	158737		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	9.65	Resting	2022-11-10	USA: Gulf of Maine	male	fin clip																									Mae-390	Mae-390
SAMN52748468	Successfully loaded	Mae-396	160224		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	7.65	Resting	2022-11-10	USA: Gulf of Maine	female	fin clip																									Mae-396	Mae-396
SAMN52748469	Successfully loaded	Mae-399	168013		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	9.65	Resting	2022-11-11	USA: Gulf of Maine	male	fin clip																									Mae-399	Mae-399
SAMN52748470	Successfully loaded	Mae-403	175841		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	5.65	Resting	2022-11-13	USA: Gulf of Maine	male	fin clip																									Mae-403	Mae-403
SAMN52748471	Successfully loaded	Mae-405	176059		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.65	Resting	2022-11-13	USA: Gulf of Maine	female	fin clip																									Mae-405	Mae-405
SAMN52748472	Successfully loaded	Mae-410	176243		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	4.65	Developing	2022-11-13	USA: Gulf of Maine	female	fin clip																									Mae-410	Mae-410
SAMN52748473	Successfully loaded	Mae-414	177468		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.65	Resting	2022-11-13	USA: Gulf of Maine	male	fin clip																									Mae-414	Mae-414
SAMN52748474	Successfully loaded	Mae-421	178424		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	6.65	Resting	2022-11-13	USA: Gulf of Maine	female	fin clip																									Mae-421	Mae-421
SAMN52748475	Successfully loaded	Mae-422	184161		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	0.65	Immature	2022-11-14	USA: Gulf of Maine	male	fin clip																									Mae-422	Mae-422
SAMN52748476	Successfully loaded	Mae-424	189062		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	0.65	Immature	2022-11-15	USA: Gulf of Maine	female	fin clip																									Mae-424	Mae-424
SAMN52748477	Successfully loaded	Mae-428	4017		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10.2	Resting	2023-05-11	USA: Gulf of Maine	female	fin clip																									Mae-428	Mae-428
SAMN52748478	Successfully loaded	Mae-432	4022		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10.2	Developing	2023-05-11	USA: Gulf of Maine	female	fin clip																									Mae-432	Mae-432
SAMN52748479	Successfully loaded	Mae-436	4028		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	7.2	Resting	2023-05-11	USA: Gulf of Maine	female	fin clip																									Mae-436	Mae-436
SAMN52748480	Successfully loaded	Mae-440	4056		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	7.2	Resting	2023-05-11	USA: Gulf of Maine	female	fin clip																									Mae-440	Mae-440
SAMN52748481	Successfully loaded	Mae-441	4057		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10.2	Resting	2023-05-11	USA: Gulf of Maine	female	fin clip																									Mae-441	Mae-441
SAMN52748482	Successfully loaded	Mae-474	16832		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10.2	Spent	2023-05-16	USA: Gulf of Maine	male	fin clip																									Mae-474	Mae-474
SAMN52748483	Successfully loaded	Mae-449	11364		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	7.2	Resting	2023-05-14	USA: Gulf of Maine	female	fin clip																									Mae-449	Mae-449
SAMN52748484	Successfully loaded	Mae-454	12612		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.2	Spent	2023-05-15	USA: Gulf of Maine	male	fin clip																									Mae-454	Mae-454
SAMN52748485	Successfully loaded	Mae-464	14932		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10.2	Developing	2023-05-15	USA: Gulf of Maine	female	fin clip																									Mae-464	Mae-464
SAMN52748486	Successfully loaded	Mae-468	16122		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.2	Spent	2023-05-15	USA: Gulf of Maine	female	fin clip																									Mae-468	Mae-468
SAMN52748487	Successfully loaded	Mae-470	16576		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.2	Spent	2023-05-16	USA: Gulf of Maine	female	fin clip																									Mae-470	Mae-470
SAMN52748488	Successfully loaded	Mae-475	17318		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	9.2	Resting	2023-05-16	USA: Gulf of Maine	female	fin clip																									Mae-475	Mae-475
SAMN52748489	Successfully loaded	Mae-477	18056		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	4.2	Developing	2023-05-16	USA: Gulf of Maine	male	fin clip																									Mae-477	Mae-477
SAMN52748490	Successfully loaded	Mae-481	19030		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.2	Resting	2023-05-17	USA: Gulf of Maine	female	fin clip																									Mae-481	Mae-481
SAMN52748491	Successfully loaded	Mae-488	20029		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.2	Spent	2023-05-18	USA: Gulf of Maine	female	fin clip																									Mae-488	Mae-488
SAMN52748492	Successfully loaded	Mae-495	21168		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.2	Resting	2023-05-18	USA: Gulf of Maine	female	fin clip																									Mae-495	Mae-495
