accession	message	sample_name	sample_title	bioproject_accession	organism	strain	isolate	breed	cultivar	ecotype	age	dev_stage	collection_date	geo_loc_name	sex	tissue	biomaterial_provider	birth_date	birth_location	breeding_history	breeding_method	cell_line	cell_subtype	cell_type	collected_by	culture_collection	death_date	disease	disease_stage	genotype	growth_protocol	health_state	isolation_source	lat_lon	phenotype	sample_type	specimen_voucher	store_cond	stud_book_number	treatment	description	gmgi_sequence_id
SAMN52748549	Successfully loaded	Mae-443	10273		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1.2	Developing	2023-05-14	USA: Gulf of Maine	male	fin clip																									Mae-443	Mae-443
SAMN52748550	Successfully loaded	Mae-447	11226		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	7.2	Resting	2023-05-14	USA: Gulf of Maine	female	fin clip																									Mae-447	Mae-447
SAMN52748551	Successfully loaded	Mae-450	11784		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	5.2	Resting	2023-05-14	USA: Gulf of Maine	female	fin clip																									Mae-450	Mae-450
SAMN52748552	Successfully loaded	Mae-451	11785		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.2	Spent	2023-05-14	USA: Gulf of Maine	male	fin clip																									Mae-451	Mae-451
SAMN52748553	Successfully loaded	Mae-456	12776		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	4.2	Spent	2023-05-15	USA: Gulf of Maine	male	fin clip																									Mae-456	Mae-456
SAMN52748554	Successfully loaded	Mae-458	13747		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.2	Resting	2023-05-15	USA: Gulf of Maine	female	fin clip																									Mae-458	Mae-458
SAMN52748555	Successfully loaded	Mae-459	13765		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1.2	Immature	2023-05-15	USA: Gulf of Maine	female	fin clip																									Mae-459	Mae-459
SAMN52748556	Successfully loaded	Mae-430	4019		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10.2	Resting	2023-05-11	USA: Gulf of Maine	female	fin clip																									Mae-430	Mae-430
SAMN52748557	Successfully loaded	Mae-466	15457		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.2	Immature	2023-05-15	USA: Gulf of Maine	male	fin clip																									Mae-466	Mae-466
SAMN52748558	Successfully loaded	Mae-472	16789		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10.2	Spent	2023-05-16	USA: Gulf of Maine	male	fin clip																									Mae-472	Mae-472
SAMN52748559	Successfully loaded	Mae-473	16800		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.2	Spent	2023-05-16	USA: Gulf of Maine	male	fin clip																									Mae-473	Mae-473
SAMN52748560	Successfully loaded	Mae-479	18093		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.2	Resting	2023-05-16	USA: Gulf of Maine	male	fin clip																									Mae-479	Mae-479
SAMN52748561	Successfully loaded	Mae-482	19298		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.2	Resting	2023-05-17	USA: Gulf of Maine	female	fin clip																									Mae-482	Mae-482
SAMN52748562	Successfully loaded	Mae-486	19972		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	7.2	Ripe	2023-05-18	USA: Gulf of Maine	female	fin clip																									Mae-486	Mae-486
SAMN52748563	Successfully loaded	Mae-494	21166		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.2	Immature	2023-05-18	USA: Gulf of Maine	male	fin clip																									Mae-494	Mae-494
SAMN52748564	Successfully loaded	Mae-500	21817		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	4.2	Resting	2023-05-18	USA: Gulf of Maine	female	fin clip																									Mae-500	Mae-500
SAMN52748565	Successfully loaded	Mae-504	22262		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.2	Resting	2023-05-19	USA: Gulf of Maine	female	fin clip																									Mae-504	Mae-504
SAMN52748566	Successfully loaded	Mae-508	22929		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	5.2	Resting	2023-05-19	USA: Gulf of Maine	male	fin clip																									Mae-508	Mae-508
SAMN52748567	Successfully loaded	Mae-510	22980		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	6.2	Resting	2023-05-19	USA: Gulf of Maine	female	fin clip																									Mae-510	Mae-510
SAMN52748568	Successfully loaded	Mae-511	23689		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.2	Ripe	2023-05-19	USA: Gulf of Maine	male	fin clip																									Mae-511	Mae-511
SAMN52748569	Successfully loaded	Mae-517	24602		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10.2	Spent	2023-05-19	USA: Gulf of Maine	male	fin clip																									Mae-517	Mae-517
SAMN52748570	Successfully loaded	Mae-518	24883		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	5.2	Spent	2023-05-19	USA: Gulf of Maine	female	fin clip																									Mae-518	Mae-518
SAMN52748571	Successfully loaded	Mae-522	30021		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	5.2	Developing	2023-05-21	USA: Gulf of Maine	female	fin clip																									Mae-522	Mae-522
SAMN52748572	Successfully loaded	Mae-523	30422		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.2	Developing	2023-05-21	USA: Gulf of Maine	female	fin clip																									Mae-523	Mae-523
SAMN52748573	Successfully loaded	Mae-530	31258		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	7.2	Resting	2023-05-22	USA: Gulf of Maine	male	fin clip																									Mae-530	Mae-530
SAMN52748574	Successfully loaded	Mae-534	31395		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.2	Spent	2023-05-22	USA: Gulf of Maine	male	fin clip																									Mae-534	Mae-534
SAMN52748575	Successfully loaded	Mae-536	31895		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.2	Resting	2023-05-22	USA: Gulf of Maine	female	fin clip																									Mae-536	Mae-536
