File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
./Mae-451_S47_R1_001_val_1_bismark_bt2_pe.bam	160834866	7801323	152589380	444163	2			376925187	1098960	113103906	884812	94618709	3481435	163737365
./Mae-456_S48_R1_001_val_1_bismark_bt2_pe.bam	90005246	5028785	84754174	222287	1			249573285	686085	75508361	553379	63048271	1793872	107983317
./Mae-458_S49_R1_001_val_1_bismark_bt2_pe.bam	113771078	9026028	104395423	349627	0			462905937	1276942	139827467	1037590	116858454	2917857	200987627
./Mae-459_S50_R1_001_val_1_bismark_bt2_pe.bam	181654095	3086942	178285198	281955	0			152622695	511455	44784120	423428	37598421	2484433	66820838
./Mae-466_S52_R1_001_val_1_bismark_bt2_pe.bam	118984872	2431727	116430629	122516	0			135444478	356799	39683955	289591	33496602	1112201	60505330
./Mae-472_S53_R1_001_val_1_bismark_bt2_pe.bam	100427034	2926103	97394597	106334	0			164524070	425886	48532565	344707	40882317	1047132	73291463
./Mae-473_S54_R1_001_val_1_bismark_bt2_pe.bam	87520889	3181944	84158037	180908	0			161699721	461733	48369197	375201	40500002	1512007	70481581
./Mae-479_S55_R1_001_val_1_bismark_bt2_pe.bam	140493969	13161788	126885360	446821	3			702348071	1791247	210393242	1446507	176313709	3883818	308519548
./Mae-482_S56_R1_001_val_1_bismark_bt2_pe.bam	111982058	3706705	108144438	130915	1			206006319	572446	61707853	460340	51736968	1279573	90249139
./Mae-486_S57_R1_001_val_1_bismark_bt2_pe.bam	155855050	10162275	145379944	312831	8			570386207	1455346	170442612	1180193	142939001	2879543	251489512
./Mae-494_S58_R1_001_val_1_bismark_bt2_pe.bam	77813836	2187305	75499875	126656	2			109583795	303712	32729304	246233	27421462	1043461	47839623
./Mae-500_S59_R1_001_val_1_bismark_bt2_pe.bam	100559979	4730717	95613823	215439	0			241877166	602042	71544489	477433	60279741	1765608	107207853
./Mae-504_S60_R1_001_val_1_bismark_bt2_pe.bam	145728188	3529724	142041958	156506	1			193779669	524138	56993992	425161	48018253	1545441	86272684
./Mae-508_S61_R1_001_val_1_bismark_bt2_pe.bam	242595636	10089530	231983137	522969	1			521247695	1622069	156617035	1306052	131143843	4770295	225788401
./Mae-510_S62_R1_001_val_1_bismark_bt2_pe.bam	169089975	4313405	164559246	217324	0			231058838	624851	68091366	496529	57408058	1974298	102463736
./Mae-511_S63_R1_001_val_1_bismark_bt2_pe.bam	188922685	7925149	180658543	338993	0			407098871	1105771	120558099	904775	101075466	2872339	180582421
./Mae-517_S64_R1_001_val_1_bismark_bt2_pe.bam	120081172	5675181	114231091	174900	8			313548579	948681	91830772	798455	77335196	1889358	140746117
./Mae-518_S65_R1_001_val_1_bismark_bt2_pe.bam	119413910	3212317	115831049	370544	0			139607294	542189	41470909	433358	34643472	2873664	59643702
./Mae-522_S66_R1_001_val_1_bismark_bt2_pe.bam	260183981	10033359	249351182	799440	1			460927137	1569636	138549388	1231808	115679502	6176434	197720369
./Mae-523_S67_R1_001_val_1_bismark_bt2_pe.bam	212654839	6688006	205507974	458859	2			317683085	937980	96260721	748309	80123882	3761030	135851163
./Mae-530_S68_R1_001_val_1_bismark_bt2_pe.bam	121993374	5752928	115851835	388611	3			267637559	773684	80593137	608838	67304110	2811492	115546298
./Mae-534_S69_R1_001_val_1_bismark_bt2_pe.bam	159444504	6430791	152544063	469650	1			296871422	824631	88981313	651339	74324068	3433972	128656099
./Mae-536_S70_R1_001_val_1_bismark_bt2_pe.bam	159659947	6557987	152619165	482795	0			299232657	821309	89791890	648451	74949269	3486830	129534908
