"Name","cluster"
"MEAE_00000251","1"
"MEAE_00000251","1"
"MEAE_00000252","1"
"MEAE_00000251","1"
"MEAE_00000252","1"
"MEAE_00000251","1"
"MEAE_00000251","2"
"MEAE_00000254","2"
"MEAE_00000253","2"
"MEAE_00000254","2"
"MEAE_00000253","2"
"MEAE_00000254","2"
"MEAE_00000253","2"
"MEAE_00000255","2"
"MEAE_00000255","1"
"MEAE_00000261","1"
"MEAE_00000261","1"
"MEAE_00000261","2"
"MEAE_00000263","2"
"MEAE_00000261","2"
"MEAE_00000263","2"
"MEAE_00000270","2"
"MEAE_00000269","2"
"MEAE_00000273","2"
"MEAE_00000273","2"
"MEAE_00000273","2"
"MEAE_00000273","2"
"MEAE_00000273","2"
"MEAE_00000273","2"
"MEAE_00000274","1"
"MEAE_00000274","1"
"MEAE_00000277","1"
"MEAE_00000274","1"
"MEAE_00000277","1"
"MEAE_00000278","1"
"MEAE_00000281","1"
"MEAE_00000280","1"
"MEAE_00000280","1"
"MEAE_00000280","1"
"MEAE_00000282","1"
"MEAE_00000284","1"
"MEAE_00000284","2"
"MEAE_00000285","1"
"MEAE_00000286","1"
"MEAE_00000285","1"
"MEAE_00000286","1"
"MEAE_00000288","1"
"MEAE_00000288","1"
"MEAE_00000288","1"
"MEAE_00000288","1"
"MEAE_00000290","2"
"MEAE_00000290","2"
"MEAE_00000292","2"
"MEAE_00000290","2"
"MEAE_00000292","2"
"MEAE_00000290","2"
"MEAE_00000292","2"
"MEAE_00000290","2"
"MEAE_00000292","2"
"MEAE_00000290","2"
"MEAE_00000290","2"
"MEAE_00000290","2"
"MEAE_00000296","2"
"MEAE_00000296","2"
"MEAE_00000299","1"
"MEAE_00000296","1"
"MEAE_00000296","1"
"MEAE_00000300","1"
"MEAE_00000296","1"
"MEAE_00000300","2"
"MEAE_00000296","2"
"MEAE_00000300","2"
"MEAE_00000296","2"
"MEAE_00000300","1"
"MEAE_00000296","1"
"MEAE_00000302","2"
"MEAE_00000296","2"
"MEAE_00000305","2"
"MEAE_00000304","2"
"MEAE_00000308","2"
"MEAE_00000308","2"
"MEAE_00000308","2"
"MEAE_00000308","2"
"MEAE_00000309","2"
"MEAE_00000309","2"
"MEAE_00000310","2"
"MEAE_00000309","2"
"MEAE_00000309","2"
"MEAE_00000313","2"
"MEAE_00000313","2"
"MEAE_00000314","2"
"MEAE_00000314","2"
"MEAE_00000316","1"
"MEAE_00000316","1"
"MEAE_00000316","1"
"MEAE_00000317","1"
"MEAE_00000322","1"
"MEAE_00000322","2"
"MEAE_00000322","2"
"MEAE_00000322","2"
"MEAE_00000322","2"
"MEAE_00000322","2"
"MEAE_00000322","2"
"MEAE_00000322","2"
"MEAE_00000322","2"
"MEAE_00000322","2"
"MEAE_00000322","2"
"MEAE_00000322","1"
"MEAE_00000324","1"
"MEAE_00000322","2"
"MEAE_00000322","2"
"MEAE_00000322","2"
"MEAE_00000322","2"
"MEAE_00000322","2"
"MEAE_00000322","2"
"MEAE_00000322","2"
"MEAE_00000337","1"
"MEAE_00000343","2"
"MEAE_00000350","1"
"MEAE_00000349","1"
"MEAE_00000350","2"
"MEAE_00000349","2"
"MEAE_00000350","1"
"MEAE_00000356","2"
"MEAE_00000356","1"
"MEAE_00000358","2"
"MEAE_00000358","2"
"MEAE_00000358","2"
"MEAE_00000372","1"
"MEAE_00000374","1"
"MEAE_00000372","1"
"MEAE_00000375","1"
"MEAE_00000372","1"
"MEAE_00000375","1"
"MEAE_00000372","2"
"MEAE_00000375","2"
"MEAE_00000372","1"
"MEAE_00000375","1"
"MEAE_00000386","2"
"MEAE_00000388","2"
"MEAE_00000395","1"
"MEAE_00000396","1"
"MEAE_00000403","1"
"MEAE_00000405","1"
"MEAE_00000403","2"
"MEAE_00000405","2"
"MEAE_00000411","2"
"MEAE_00000425","2"
"MEAE_00000425","2"
"MEAE_00000425","2"
"MEAE_00000428","1"
"MEAE_00000428","1"
"MEAE_00000435","2"
"MEAE_00000441","2"
"MEAE_00000445","2"
"MEAE_00000445","1"
"MEAE_00000447","1"
"MEAE_00000445","2"
"MEAE_00000445","2"
"MEAE_00000450","2"
"MEAE_00000450","2"
"MEAE_00000452","1"
"MEAE_00000459","1"
"MEAE_00000458","1"
"MEAE_00000461","2"
"MEAE_00000461","2"
"MEAE_00000461","2"
"MEAE_00000461","2"
"MEAE_00000462","1"
"MEAE_00000462","2"
"MEAE_00000464","2"
"MEAE_00000462","2"
"MEAE_00000464","2"
"MEAE_00000462","2"
"MEAE_00000464","2"
"MEAE_00000462","2"
"MEAE_00000464","2"
"MEAE_00000462","2"
"MEAE_00000462","2"
"MEAE_00000462","2"
"MEAE_00000466","2"
"MEAE_00000462","2"
"MEAE_00000472","1"
"MEAE_00000472","1"
"MEAE_00000472","1"
"MEAE_00000473","1"
"MEAE_00000473","1"
"MEAE_00000477","1"
"MEAE_00000479","1"
"MEAE_00000478","1"
"MEAE_00000478","2"
"MEAE_00000484","2"
"MEAE_00000487","1"
"MEAE_00000486","1"
"MEAE_00000495","2"
"MEAE_00000496","2"
"MEAE_00000495","2"
