#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0032502	Developmental process	40	4479	0.3	0.39	0.0030	8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000001688,8049.ENSGMOP00000002985,8049.ENSGMOP00000003381,8049.ENSGMOP00000003483,8049.ENSGMOP00000003547,8049.ENSGMOP00000003809,8049.ENSGMOP00000003929,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000006307,8049.ENSGMOP00000006481,8049.ENSGMOP00000006664,8049.ENSGMOP00000007617,8049.ENSGMOP00000007903,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000015958,8049.ENSGMOP00000016347,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000017194,8049.ENSGMOP00000017401,8049.ENSGMOP00000017523,8049.ENSGMOP00000019065,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324,8049.ENSGMOP00000021060	ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000001688,ENSGMOP00000002985,ENSGMOP00000003381,LAMA3,ENSGMOP00000003547,ENSGMOP00000003809,ENSGMOP00000003929,ENSGMOP00000005232,ENSGMOP00000005306,ENSGMOP00000006307,ENSGMOP00000006481,ENSGMOP00000006664,ENSGMOP00000007617,ENSGMOP00000007903,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000015958,ENSGMOP00000016347,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016804,nr2e1,ENSGMOP00000017401,ENSGMOP00000017523,ENSGMOP00000019065,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000020316,ENSGMOP00000020324,ENSGMOP00000021060
GO Process	GO:0035556	Intracellular signal transduction	18	1130	0.55	0.5	0.0030	8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000004735,8049.ENSGMOP00000006558,8049.ENSGMOP00000007568,8049.ENSGMOP00000007903,8049.ENSGMOP00000009057,8049.ENSGMOP00000011506,8049.ENSGMOP00000012990,8049.ENSGMOP00000013414,8049.ENSGMOP00000014980,8049.ENSGMOP00000015596,8049.ENSGMOP00000016798,8049.ENSGMOP00000016837,8049.ENSGMOP00000019803,8049.ENSGMOP00000020184,8049.ENSGMOP00000021060	ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000004735,ENSGMOP00000006558,ENSGMOP00000007568,ENSGMOP00000007903,ENSGMOP00000009057,ENSGMOP00000011506,ENSGMOP00000012990,ENSGMOP00000013414,ENSGMOP00000014980,ENSGMOP00000015596,ENSGMOP00000016798,ENSGMOP00000016837,ENSGMOP00000019803,ENSGMOP00000020184,ENSGMOP00000021060
GO Process	GO:0043085	Positive regulation of catalytic activity	14	717	0.64	0.54	0.0030	8049.ENSGMOP00000000192,8049.ENSGMOP00000000394,8049.ENSGMOP00000003547,8049.ENSGMOP00000009057,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000013403,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016837,8049.ENSGMOP00000019803,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000021060	ENSGMOP00000000192,ENSGMOP00000000394,ENSGMOP00000003547,ENSGMOP00000009057,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000013403,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016837,ENSGMOP00000019803,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000021060
GO Process	GO:0065007	Biological regulation	71	11286	0.15	0.32	0.0033	8049.ENSGMOP00000000116,8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000001078,8049.ENSGMOP00000002985,8049.ENSGMOP00000003381,8049.ENSGMOP00000003483,8049.ENSGMOP00000003514,8049.ENSGMOP00000003547,8049.ENSGMOP00000003809,8049.ENSGMOP00000003815,8049.ENSGMOP00000003911,8049.ENSGMOP00000003952,8049.ENSGMOP00000004711,8049.ENSGMOP00000004735,8049.ENSGMOP00000005084,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000006307,8049.ENSGMOP00000006350,8049.ENSGMOP00000006481,8049.ENSGMOP00000006558,8049.ENSGMOP00000007440,8049.ENSGMOP00000007568,8049.ENSGMOP00000007573,8049.ENSGMOP00000007617,8049.ENSGMOP00000007861,8049.ENSGMOP00000007903,8049.ENSGMOP00000007919,8049.ENSGMOP00000008916,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000009058,8049.ENSGMOP00000009512,8049.ENSGMOP00000010033,8049.ENSGMOP00000010933,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000012747,8049.ENSGMOP00000012990,8049.ENSGMOP00000013161,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000013726,8049.ENSGMOP00000013986,8049.ENSGMOP00000014278,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000015596,8049.ENSGMOP00000016163,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000016837,8049.ENSGMOP00000017194,8049.ENSGMOP00000017401,8049.ENSGMOP00000017484,8049.ENSGMOP00000017523,8049.ENSGMOP00000018687,8049.ENSGMOP00000019065,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324,8049.ENSGMOP00000021060,8049.ENSGMOP00000021771	ENSGMOP00000000116,ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,LTBP3,ENSGMOP00000002985,ENSGMOP00000003381,LAMA3,ENSGMOP00000003514,ENSGMOP00000003547,ENSGMOP00000003809,ENSGMOP00000003815,ENSGMOP00000003911,ENSGMOP00000003952,ENSGMOP00000004711,ENSGMOP00000004735,ENSGMOP00000005084,ENSGMOP00000005232,ENSGMOP00000005306,ENSGMOP00000006307,ENSGMOP00000006350,ENSGMOP00000006481,ENSGMOP00000006558,ENSGMOP00000007440,ENSGMOP00000007568,ENSGMOP00000007573,ENSGMOP00000007617,ENSGMOP00000007861,ENSGMOP00000007903,ENSGMOP00000007919,ENSGMOP00000008916,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000009058,ENSGMOP00000009512,ENSGMOP00000010033,ENSGMOP00000010933,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000012747,ENSGMOP00000012990,ENSGMOP00000013161,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000013726,ENSGMOP00000013986,ENSGMOP00000014278,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000015596,LOC115530884,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016804,ENSGMOP00000016837,nr2e1,ENSGMOP00000017401,ENSGMOP00000017484,ENSGMOP00000017523,ENSGMOP00000018687,ENSGMOP00000019065,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000020316,ENSGMOP00000020324,ENSGMOP00000021060,ENSGMOP00000021771
GO Process	GO:0023052	Signaling	36	3936	0.31	0.39	0.0034	8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000002985,8049.ENSGMOP00000003911,8049.ENSGMOP00000003952,8049.ENSGMOP00000004735,8049.ENSGMOP00000005232,8049.ENSGMOP00000006307,8049.ENSGMOP00000006558,8049.ENSGMOP00000007568,8049.ENSGMOP00000007903,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000010033,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000012990,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000015596,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000016837,8049.ENSGMOP00000017194,8049.ENSGMOP00000017523,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000021060,8049.ENSGMOP00000021771	ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000002985,ENSGMOP00000003911,ENSGMOP00000003952,ENSGMOP00000004735,ENSGMOP00000005232,ENSGMOP00000006307,ENSGMOP00000006558,ENSGMOP00000007568,ENSGMOP00000007903,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000010033,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000012990,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000015596,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016804,ENSGMOP00000016837,nr2e1,ENSGMOP00000017523,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000021060,ENSGMOP00000021771
GO Process	GO:0048522	Positive regulation of cellular process	36	3920	0.31	0.39	0.0034	8049.ENSGMOP00000000116,8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000002985,8049.ENSGMOP00000003381,8049.ENSGMOP00000003815,8049.ENSGMOP00000004711,8049.ENSGMOP00000005084,8049.ENSGMOP00000006307,8049.ENSGMOP00000007573,8049.ENSGMOP00000007903,8049.ENSGMOP00000009025,8049.ENSGMOP00000009512,8049.ENSGMOP00000011775,8049.ENSGMOP00000012990,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000013986,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016837,8049.ENSGMOP00000017484,8049.ENSGMOP00000017523,8049.ENSGMOP00000018687,8049.ENSGMOP00000019065,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324,8049.ENSGMOP00000021771	ENSGMOP00000000116,ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000002985,ENSGMOP00000003381,ENSGMOP00000003815,ENSGMOP00000004711,ENSGMOP00000005084,ENSGMOP00000006307,ENSGMOP00000007573,ENSGMOP00000007903,ENSGMOP00000009025,ENSGMOP00000009512,ENSGMOP00000011775,ENSGMOP00000012990,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000013986,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016837,ENSGMOP00000017484,ENSGMOP00000017523,ENSGMOP00000018687,ENSGMOP00000019065,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000020316,ENSGMOP00000020324,ENSGMOP00000021771
GO Process	GO:0050790	Regulation of catalytic activity	21	1611	0.46	0.46	0.0034	8049.ENSGMOP00000000192,8049.ENSGMOP00000000394,8049.ENSGMOP00000003547,8049.ENSGMOP00000003911,8049.ENSGMOP00000006350,8049.ENSGMOP00000009057,8049.ENSGMOP00000010033,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000012747,8049.ENSGMOP00000012990,8049.ENSGMOP00000013403,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016837,8049.ENSGMOP00000019065,8049.ENSGMOP00000019803,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000020316,8049.ENSGMOP00000021060	ENSGMOP00000000192,ENSGMOP00000000394,ENSGMOP00000003547,ENSGMOP00000003911,ENSGMOP00000006350,ENSGMOP00000009057,ENSGMOP00000010033,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000012747,ENSGMOP00000012990,ENSGMOP00000013403,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016837,ENSGMOP00000019065,ENSGMOP00000019803,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000020316,ENSGMOP00000021060
GO Process	GO:0065009	Regulation of molecular function	25	2155	0.41	0.44	0.0034	8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000003381,8049.ENSGMOP00000003547,8049.ENSGMOP00000003809,8049.ENSGMOP00000003911,8049.ENSGMOP00000006350,8049.ENSGMOP00000009057,8049.ENSGMOP00000010033,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000012747,8049.ENSGMOP00000012990,8049.ENSGMOP00000013403,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016837,8049.ENSGMOP00000018687,8049.ENSGMOP00000019065,8049.ENSGMOP00000019803,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000020316,8049.ENSGMOP00000021060	ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000003381,ENSGMOP00000003547,ENSGMOP00000003809,ENSGMOP00000003911,ENSGMOP00000006350,ENSGMOP00000009057,ENSGMOP00000010033,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000012747,ENSGMOP00000012990,ENSGMOP00000013403,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016837,ENSGMOP00000018687,ENSGMOP00000019065,ENSGMOP00000019803,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000020316,ENSGMOP00000021060
GO Process	GO:0048870	Cell motility	13	683	0.63	0.5	0.0052	8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000002985,8049.ENSGMOP00000003929,8049.ENSGMOP00000012990,8049.ENSGMOP00000014980,8049.ENSGMOP00000016347,8049.ENSGMOP00000016798,8049.ENSGMOP00000017523,8049.ENSGMOP00000019499,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000020316	ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000002985,ENSGMOP00000003929,ENSGMOP00000012990,ENSGMOP00000014980,ENSGMOP00000016347,ENSGMOP00000016798,ENSGMOP00000017523,ENSGMOP00000019499,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000020316
GO Process	GO:0003170	Heart valve development	4	31	1.46	0.63	0.0068	8049.ENSGMOP00000000295,8049.ENSGMOP00000003547,8049.ENSGMOP00000006481,8049.ENSGMOP00000019803	ENSGMOP00000000295,ENSGMOP00000003547,ENSGMOP00000006481,ENSGMOP00000019803
GO Process	GO:0007169	Transmembrane receptor protein tyrosine kinase signaling pathway	9	325	0.79	0.52	0.0068	8049.ENSGMOP00000000192,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000013403,8049.ENSGMOP00000014980,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000019803	ENSGMOP00000000192,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000013403,ENSGMOP00000014980,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016804,ENSGMOP00000019803
GO Process	GO:0016477	Cell migration	12	599	0.65	0.48	0.0068	8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000002985,8049.ENSGMOP00000003929,8049.ENSGMOP00000012990,8049.ENSGMOP00000014980,8049.ENSGMOP00000016347,8049.ENSGMOP00000016798,8049.ENSGMOP00000017523,8049.ENSGMOP00000019499,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803	ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000002985,ENSGMOP00000003929,ENSGMOP00000012990,ENSGMOP00000014980,ENSGMOP00000016347,ENSGMOP00000016798,ENSGMOP00000017523,ENSGMOP00000019499,ENSGMOP00000019698,ENSGMOP00000019803
GO Process	GO:0002009	Morphogenesis of an epithelium	9	332	0.78	0.52	0.0071	8049.ENSGMOP00000000295,8049.ENSGMOP00000001688,8049.ENSGMOP00000003547,8049.ENSGMOP00000006481,8049.ENSGMOP00000007617,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000019803,8049.ENSGMOP00000021060	ENSGMOP00000000295,ENSGMOP00000001688,ENSGMOP00000003547,ENSGMOP00000006481,ENSGMOP00000007617,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000019803,ENSGMOP00000021060
GO Process	GO:0007275	Multicellular organism development	32	3431	0.32	0.37	0.0071	8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000001688,8049.ENSGMOP00000003483,8049.ENSGMOP00000003547,8049.ENSGMOP00000003809,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000006481,8049.ENSGMOP00000007617,8049.ENSGMOP00000007903,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000014980,8049.ENSGMOP00000015958,8049.ENSGMOP00000016347,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000017401,8049.ENSGMOP00000019065,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324,8049.ENSGMOP00000021060	ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000001688,LAMA3,ENSGMOP00000003547,ENSGMOP00000003809,ENSGMOP00000005232,ENSGMOP00000005306,ENSGMOP00000006481,ENSGMOP00000007617,ENSGMOP00000007903,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000014980,ENSGMOP00000015958,ENSGMOP00000016347,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016804,ENSGMOP00000017401,ENSGMOP00000019065,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000020316,ENSGMOP00000020324,ENSGMOP00000021060
GO Process	GO:0051345	Positive regulation of hydrolase activity	9	337	0.78	0.51	0.0077	8049.ENSGMOP00000000394,8049.ENSGMOP00000003547,8049.ENSGMOP00000009057,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000016837,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000021060	ENSGMOP00000000394,ENSGMOP00000003547,ENSGMOP00000009057,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000016837,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000021060
GO Process	GO:0048856	Anatomical structure development	36	4169	0.29	0.35	0.0081	8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000001688,8049.ENSGMOP00000003483,8049.ENSGMOP00000003547,8049.ENSGMOP00000003809,8049.ENSGMOP00000003929,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000006481,8049.ENSGMOP00000006664,8049.ENSGMOP00000007617,8049.ENSGMOP00000007903,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000015958,8049.ENSGMOP00000016347,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000017194,8049.ENSGMOP00000017401,8049.ENSGMOP00000019065,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324,8049.ENSGMOP00000021060	ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000001688,LAMA3,ENSGMOP00000003547,ENSGMOP00000003809,ENSGMOP00000003929,ENSGMOP00000005232,ENSGMOP00000005306,ENSGMOP00000006481,ENSGMOP00000006664,ENSGMOP00000007617,ENSGMOP00000007903,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000015958,ENSGMOP00000016347,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016804,nr2e1,ENSGMOP00000017401,ENSGMOP00000019065,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000020316,ENSGMOP00000020324,ENSGMOP00000021060
GO Process	GO:0009653	Anatomical structure morphogenesis	21	1765	0.42	0.4	0.0087	8049.ENSGMOP00000000295,8049.ENSGMOP00000001688,8049.ENSGMOP00000003547,8049.ENSGMOP00000003929,8049.ENSGMOP00000005232,8049.ENSGMOP00000006481,8049.ENSGMOP00000006664,8049.ENSGMOP00000007617,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000013414,8049.ENSGMOP00000016347,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000017401,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324,8049.ENSGMOP00000021060	ENSGMOP00000000295,ENSGMOP00000001688,ENSGMOP00000003547,ENSGMOP00000003929,ENSGMOP00000005232,ENSGMOP00000006481,ENSGMOP00000006664,ENSGMOP00000007617,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000013414,ENSGMOP00000016347,ENSGMOP00000016798,ENSGMOP00000016804,ENSGMOP00000017401,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020316,ENSGMOP00000020324,ENSGMOP00000021060
GO Process	GO:0050793	Regulation of developmental process	19	1492	0.45	0.41	0.0088	8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000003381,8049.ENSGMOP00000003483,8049.ENSGMOP00000003809,8049.ENSGMOP00000004711,8049.ENSGMOP00000005306,8049.ENSGMOP00000006307,8049.ENSGMOP00000007861,8049.ENSGMOP00000008916,8049.ENSGMOP00000013414,8049.ENSGMOP00000014980,8049.ENSGMOP00000016837,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020184,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324	ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000003381,LAMA3,ENSGMOP00000003809,ENSGMOP00000004711,ENSGMOP00000005306,ENSGMOP00000006307,ENSGMOP00000007861,ENSGMOP00000008916,ENSGMOP00000013414,ENSGMOP00000014980,ENSGMOP00000016837,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020184,ENSGMOP00000020316,ENSGMOP00000020324
GO Process	GO:0043547	Positive regulation of GTPase activity	7	203	0.89	0.5	0.0119	8049.ENSGMOP00000000394,8049.ENSGMOP00000009057,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000016837,8049.ENSGMOP00000020184,8049.ENSGMOP00000021060	ENSGMOP00000000394,ENSGMOP00000009057,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000016837,ENSGMOP00000020184,ENSGMOP00000021060
GO Process	GO:0043087	Regulation of GTPase activity	8	283	0.8	0.47	0.0126	8049.ENSGMOP00000000394,8049.ENSGMOP00000003911,8049.ENSGMOP00000009057,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000016837,8049.ENSGMOP00000020184,8049.ENSGMOP00000021060	ENSGMOP00000000394,ENSGMOP00000003911,ENSGMOP00000009057,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000016837,ENSGMOP00000020184,ENSGMOP00000021060
GO Process	GO:0035278	miRNA-mediated gene silencing by inhibition of translation	3	14	1.68	0.55	0.0144	8049.ENSGMOP00000005084,8049.ENSGMOP00000009512,8049.ENSGMOP00000013986	ENSGMOP00000005084,ENSGMOP00000009512,ENSGMOP00000013986
GO Process	GO:0007528	Neuromuscular junction development	4	45	1.3	0.52	0.0163	8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000011775,8049.ENSGMOP00000021060	ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000011775,ENSGMOP00000021060
GO Process	GO:0048519	Negative regulation of biological process	31	3548	0.29	0.3	0.0247	8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000003381,8049.ENSGMOP00000004711,8049.ENSGMOP00000004735,8049.ENSGMOP00000005084,8049.ENSGMOP00000006307,8049.ENSGMOP00000006481,8049.ENSGMOP00000007440,8049.ENSGMOP00000007568,8049.ENSGMOP00000007861,8049.ENSGMOP00000008916,8049.ENSGMOP00000009512,8049.ENSGMOP00000011775,8049.ENSGMOP00000012990,8049.ENSGMOP00000013161,8049.ENSGMOP00000013414,8049.ENSGMOP00000013986,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000016163,8049.ENSGMOP00000016798,8049.ENSGMOP00000017194,8049.ENSGMOP00000018687,8049.ENSGMOP00000019065,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324	ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000003381,ENSGMOP00000004711,ENSGMOP00000004735,ENSGMOP00000005084,ENSGMOP00000006307,ENSGMOP00000006481,ENSGMOP00000007440,ENSGMOP00000007568,ENSGMOP00000007861,ENSGMOP00000008916,ENSGMOP00000009512,ENSGMOP00000011775,ENSGMOP00000012990,ENSGMOP00000013161,ENSGMOP00000013414,ENSGMOP00000013986,ENSGMOP00000014980,ENSGMOP00000015513,LOC115530884,ENSGMOP00000016798,nr2e1,ENSGMOP00000018687,ENSGMOP00000019065,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000020316,ENSGMOP00000020324
