#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0051716	Cellular response to stimulus	47	4867	0.33	0.51	8.74e-05	8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000001078,8049.ENSGMOP00000001118,8049.ENSGMOP00000002985,8049.ENSGMOP00000003547,8049.ENSGMOP00000003809,8049.ENSGMOP00000003911,8049.ENSGMOP00000003952,8049.ENSGMOP00000004735,8049.ENSGMOP00000005232,8049.ENSGMOP00000005743,8049.ENSGMOP00000006307,8049.ENSGMOP00000006558,8049.ENSGMOP00000007568,8049.ENSGMOP00000007861,8049.ENSGMOP00000007903,8049.ENSGMOP00000008916,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000009058,8049.ENSGMOP00000010033,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000012990,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000013726,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000015596,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000016837,8049.ENSGMOP00000017194,8049.ENSGMOP00000017523,8049.ENSGMOP00000017545,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000020316,8049.ENSGMOP00000021060,8049.ENSGMOP00000021771	ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,LTBP3,ENSGMOP00000001118,ENSGMOP00000002985,ENSGMOP00000003547,ENSGMOP00000003809,ENSGMOP00000003911,ENSGMOP00000003952,ENSGMOP00000004735,ENSGMOP00000005232,ENSGMOP00000005743,ENSGMOP00000006307,ENSGMOP00000006558,ENSGMOP00000007568,ENSGMOP00000007861,ENSGMOP00000007903,ENSGMOP00000008916,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000009058,ENSGMOP00000010033,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000012990,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000013726,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000015596,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016804,ENSGMOP00000016837,nr2e1,ENSGMOP00000017523,ENSGMOP00000017545,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000020316,ENSGMOP00000021060,ENSGMOP00000021771
GO Process	GO:0050794	Regulation of cellular process	67	9536	0.2	0.38	0.00073	8049.ENSGMOP00000000116,8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000001078,8049.ENSGMOP00000002985,8049.ENSGMOP00000003381,8049.ENSGMOP00000003483,8049.ENSGMOP00000003514,8049.ENSGMOP00000003547,8049.ENSGMOP00000003809,8049.ENSGMOP00000003815,8049.ENSGMOP00000003911,8049.ENSGMOP00000003952,8049.ENSGMOP00000004711,8049.ENSGMOP00000004735,8049.ENSGMOP00000005084,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000006307,8049.ENSGMOP00000006481,8049.ENSGMOP00000006558,8049.ENSGMOP00000007440,8049.ENSGMOP00000007568,8049.ENSGMOP00000007573,8049.ENSGMOP00000007861,8049.ENSGMOP00000007903,8049.ENSGMOP00000007919,8049.ENSGMOP00000008916,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000009058,8049.ENSGMOP00000009512,8049.ENSGMOP00000010033,8049.ENSGMOP00000010933,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000012747,8049.ENSGMOP00000012990,8049.ENSGMOP00000013161,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000013986,8049.ENSGMOP00000014278,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000015596,8049.ENSGMOP00000016163,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000016837,8049.ENSGMOP00000017194,8049.ENSGMOP00000017484,8049.ENSGMOP00000017523,8049.ENSGMOP00000018687,8049.ENSGMOP00000019065,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324,8049.ENSGMOP00000021060,8049.ENSGMOP00000021771	ENSGMOP00000000116,ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,LTBP3,ENSGMOP00000002985,ENSGMOP00000003381,LAMA3,ENSGMOP00000003514,ENSGMOP00000003547,ENSGMOP00000003809,ENSGMOP00000003815,ENSGMOP00000003911,ENSGMOP00000003952,ENSGMOP00000004711,ENSGMOP00000004735,ENSGMOP00000005084,ENSGMOP00000005232,ENSGMOP00000005306,ENSGMOP00000006307,ENSGMOP00000006481,ENSGMOP00000006558,ENSGMOP00000007440,ENSGMOP00000007568,ENSGMOP00000007573,ENSGMOP00000007861,ENSGMOP00000007903,ENSGMOP00000007919,ENSGMOP00000008916,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000009058,ENSGMOP00000009512,ENSGMOP00000010033,ENSGMOP00000010933,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000012747,ENSGMOP00000012990,ENSGMOP00000013161,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000013986,ENSGMOP00000014278,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000015596,LOC115530884,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016804,ENSGMOP00000016837,nr2e1,ENSGMOP00000017484,ENSGMOP00000017523,ENSGMOP00000018687,ENSGMOP00000019065,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000020316,ENSGMOP00000020324,ENSGMOP00000021060,ENSGMOP00000021771
GO Process	GO:0050789	Regulation of biological process	70	10362	0.18	0.37	0.00075	8049.ENSGMOP00000000116,8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000001078,8049.ENSGMOP00000002985,8049.ENSGMOP00000003381,8049.ENSGMOP00000003483,8049.ENSGMOP00000003514,8049.ENSGMOP00000003547,8049.ENSGMOP00000003809,8049.ENSGMOP00000003815,8049.ENSGMOP00000003911,8049.ENSGMOP00000003952,8049.ENSGMOP00000004711,8049.ENSGMOP00000004735,8049.ENSGMOP00000005084,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000006307,8049.ENSGMOP00000006350,8049.ENSGMOP00000006481,8049.ENSGMOP00000006558,8049.ENSGMOP00000007440,8049.ENSGMOP00000007568,8049.ENSGMOP00000007573,8049.ENSGMOP00000007617,8049.ENSGMOP00000007861,8049.ENSGMOP00000007903,8049.ENSGMOP00000007919,8049.ENSGMOP00000008916,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000009058,8049.ENSGMOP00000009512,8049.ENSGMOP00000010033,8049.ENSGMOP00000010933,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000012747,8049.ENSGMOP00000012990,8049.ENSGMOP00000013161,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000013726,8049.ENSGMOP00000013986,8049.ENSGMOP00000014278,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000015596,8049.ENSGMOP00000016163,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000016837,8049.ENSGMOP00000017194,8049.ENSGMOP00000017484,8049.ENSGMOP00000017523,8049.ENSGMOP00000018687,8049.ENSGMOP00000019065,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324,8049.ENSGMOP00000021060,8049.ENSGMOP00000021771	ENSGMOP00000000116,ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,LTBP3,ENSGMOP00000002985,ENSGMOP00000003381,LAMA3,ENSGMOP00000003514,ENSGMOP00000003547,ENSGMOP00000003809,ENSGMOP00000003815,ENSGMOP00000003911,ENSGMOP00000003952,ENSGMOP00000004711,ENSGMOP00000004735,ENSGMOP00000005084,ENSGMOP00000005232,ENSGMOP00000005306,ENSGMOP00000006307,ENSGMOP00000006350,ENSGMOP00000006481,ENSGMOP00000006558,ENSGMOP00000007440,ENSGMOP00000007568,ENSGMOP00000007573,ENSGMOP00000007617,ENSGMOP00000007861,ENSGMOP00000007903,ENSGMOP00000007919,ENSGMOP00000008916,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000009058,ENSGMOP00000009512,ENSGMOP00000010033,ENSGMOP00000010933,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000012747,ENSGMOP00000012990,ENSGMOP00000013161,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000013726,ENSGMOP00000013986,ENSGMOP00000014278,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000015596,LOC115530884,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016804,ENSGMOP00000016837,nr2e1,ENSGMOP00000017484,ENSGMOP00000017523,ENSGMOP00000018687,ENSGMOP00000019065,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000020316,ENSGMOP00000020324,ENSGMOP00000021060,ENSGMOP00000021771
GO Process	GO:0007154	Cell communication	39	4035	0.33	0.44	0.0010	8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000001078,8049.ENSGMOP00000001688,8049.ENSGMOP00000002985,8049.ENSGMOP00000003911,8049.ENSGMOP00000003952,8049.ENSGMOP00000004735,8049.ENSGMOP00000005232,8049.ENSGMOP00000006307,8049.ENSGMOP00000006558,8049.ENSGMOP00000007568,8049.ENSGMOP00000007903,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000009058,8049.ENSGMOP00000010033,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000012990,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000015596,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000016837,8049.ENSGMOP00000017194,8049.ENSGMOP00000017523,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000021060,8049.ENSGMOP00000021771	ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,LTBP3,ENSGMOP00000001688,ENSGMOP00000002985,ENSGMOP00000003911,ENSGMOP00000003952,ENSGMOP00000004735,ENSGMOP00000005232,ENSGMOP00000006307,ENSGMOP00000006558,ENSGMOP00000007568,ENSGMOP00000007903,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000009058,ENSGMOP00000010033,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000012990,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000015596,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016804,ENSGMOP00000016837,nr2e1,ENSGMOP00000017523,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000021060,ENSGMOP00000021771
GO Process	GO:0048518	Positive regulation of biological process	41	4423	0.32	0.43	0.0011	8049.ENSGMOP00000000116,8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000002985,8049.ENSGMOP00000003381,8049.ENSGMOP00000003547,8049.ENSGMOP00000003815,8049.ENSGMOP00000004711,8049.ENSGMOP00000005084,8049.ENSGMOP00000006307,8049.ENSGMOP00000007440,8049.ENSGMOP00000007573,8049.ENSGMOP00000007617,8049.ENSGMOP00000007903,8049.ENSGMOP00000007919,8049.ENSGMOP00000008916,8049.ENSGMOP00000009025,8049.ENSGMOP00000009512,8049.ENSGMOP00000011775,8049.ENSGMOP00000012990,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000013986,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016837,8049.ENSGMOP00000017484,8049.ENSGMOP00000017523,8049.ENSGMOP00000018687,8049.ENSGMOP00000019065,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324,8049.ENSGMOP00000021771	ENSGMOP00000000116,ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000002985,ENSGMOP00000003381,ENSGMOP00000003547,ENSGMOP00000003815,ENSGMOP00000004711,ENSGMOP00000005084,ENSGMOP00000006307,ENSGMOP00000007440,ENSGMOP00000007573,ENSGMOP00000007617,ENSGMOP00000007903,ENSGMOP00000007919,ENSGMOP00000008916,ENSGMOP00000009025,ENSGMOP00000009512,ENSGMOP00000011775,ENSGMOP00000012990,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000013986,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016837,ENSGMOP00000017484,ENSGMOP00000017523,ENSGMOP00000018687,ENSGMOP00000019065,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000020316,ENSGMOP00000020324,ENSGMOP00000021771
GO Process	GO:0050896	Response to stimulus	50	6114	0.26	0.4	0.0011	8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000001078,8049.ENSGMOP00000001118,8049.ENSGMOP00000002985,8049.ENSGMOP00000003547,8049.ENSGMOP00000003809,8049.ENSGMOP00000003911,8049.ENSGMOP00000003952,8049.ENSGMOP00000004735,8049.ENSGMOP00000005232,8049.ENSGMOP00000005743,8049.ENSGMOP00000006307,8049.ENSGMOP00000006558,8049.ENSGMOP00000007568,8049.ENSGMOP00000007861,8049.ENSGMOP00000007903,8049.ENSGMOP00000008916,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000009058,8049.ENSGMOP00000010033,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000012990,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000013726,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000015596,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000016837,8049.ENSGMOP00000017194,8049.ENSGMOP00000017523,8049.ENSGMOP00000017545,8049.ENSGMOP00000018687,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324,8049.ENSGMOP00000021060,8049.ENSGMOP00000021771	ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,LTBP3,ENSGMOP00000001118,ENSGMOP00000002985,ENSGMOP00000003547,ENSGMOP00000003809,ENSGMOP00000003911,ENSGMOP00000003952,ENSGMOP00000004735,ENSGMOP00000005232,ENSGMOP00000005743,ENSGMOP00000006307,ENSGMOP00000006558,ENSGMOP00000007568,ENSGMOP00000007861,ENSGMOP00000007903,ENSGMOP00000008916,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000009058,ENSGMOP00000010033,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000012990,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000013726,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000015596,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016804,ENSGMOP00000016837,nr2e1,ENSGMOP00000017523,ENSGMOP00000017545,ENSGMOP00000018687,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000020316,ENSGMOP00000020324,ENSGMOP00000021060,ENSGMOP00000021771
GO Process	GO:0007155	Cell adhesion	14	702	0.65	0.54	0.0030	8049.ENSGMOP00000001688,8049.ENSGMOP00000002985,8049.ENSGMOP00000003483,8049.ENSGMOP00000003929,8049.ENSGMOP00000004711,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000006686,8049.ENSGMOP00000009025,8049.ENSGMOP00000016347,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000017523,8049.ENSGMOP00000019958	ENSGMOP00000001688,ENSGMOP00000002985,LAMA3,ENSGMOP00000003929,ENSGMOP00000004711,ENSGMOP00000005232,ENSGMOP00000005306,LPP,ENSGMOP00000009025,ENSGMOP00000016347,ENSGMOP00000016798,ENSGMOP00000016804,ENSGMOP00000017523,ENSGMOP00000019958
GO Process	GO:0007165	Signal transduction	35	3637	0.33	0.41	0.0030	8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000002985,8049.ENSGMOP00000003911,8049.ENSGMOP00000003952,8049.ENSGMOP00000004735,8049.ENSGMOP00000005232,8049.ENSGMOP00000006307,8049.ENSGMOP00000006558,8049.ENSGMOP00000007568,8049.ENSGMOP00000007903,8049.ENSGMOP00000009057,8049.ENSGMOP00000010033,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000012990,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000015596,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000016837,8049.ENSGMOP00000017194,8049.ENSGMOP00000017523,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000021060,8049.ENSGMOP00000021771	ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000002985,ENSGMOP00000003911,ENSGMOP00000003952,ENSGMOP00000004735,ENSGMOP00000005232,ENSGMOP00000006307,ENSGMOP00000006558,ENSGMOP00000007568,ENSGMOP00000007903,ENSGMOP00000009057,ENSGMOP00000010033,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000012990,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000015596,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016804,ENSGMOP00000016837,nr2e1,ENSGMOP00000017523,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000021060,ENSGMOP00000021771
GO Process	GO:0007167	Enzyme-linked receptor protein signaling pathway	12	497	0.73	0.57	0.0030	8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000014980,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000019803,8049.ENSGMOP00000020136	ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000014980,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016804,ENSGMOP00000019803,ENSGMOP00000020136
GO Process	GO:0009987	Cellular process	85	15342	0.09	0.3	0.0030	8049.ENSGMOP00000000116,8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000655,8049.ENSGMOP00000000741,8049.ENSGMOP00000000797,8049.ENSGMOP00000001078,8049.ENSGMOP00000001118,8049.ENSGMOP00000001688,8049.ENSGMOP00000002985,8049.ENSGMOP00000003381,8049.ENSGMOP00000003483,8049.ENSGMOP00000003514,8049.ENSGMOP00000003547,8049.ENSGMOP00000003809,8049.ENSGMOP00000003815,8049.ENSGMOP00000003911,8049.ENSGMOP00000003929,8049.ENSGMOP00000003952,8049.ENSGMOP00000004711,8049.ENSGMOP00000004735,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000005743,8049.ENSGMOP00000006307,8049.ENSGMOP00000006350,8049.ENSGMOP00000006481,8049.ENSGMOP00000006558,8049.ENSGMOP00000006664,8049.ENSGMOP00000006686,8049.ENSGMOP00000007249,8049.ENSGMOP00000007440,8049.ENSGMOP00000007568,8049.ENSGMOP00000007573,8049.ENSGMOP00000007617,8049.ENSGMOP00000007861,8049.ENSGMOP00000007903,8049.ENSGMOP00000007919,8049.ENSGMOP00000008916,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000009058,8049.ENSGMOP00000009077,8049.ENSGMOP00000010033,8049.ENSGMOP00000010933,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000011826,8049.ENSGMOP00000012990,8049.ENSGMOP00000013161,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000013726,8049.ENSGMOP00000013986,8049.ENSGMOP00000014278,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000015596,8049.ENSGMOP00000015958,8049.ENSGMOP00000016134,8049.ENSGMOP00000016347,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000016837,8049.ENSGMOP00000017194,8049.ENSGMOP00000017279,8049.ENSGMOP00000017317,8049.ENSGMOP00000017401,8049.ENSGMOP00000017484,8049.ENSGMOP00000017523,8049.ENSGMOP00000017545,8049.ENSGMOP00000018687,8049.ENSGMOP00000019065,8049.ENSGMOP00000019499,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324,8049.ENSGMOP00000021060,8049.ENSGMOP00000021771	ENSGMOP00000000116,ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000655,ENSGMOP00000000741,ENSGMOP00000000797,LTBP3,ENSGMOP00000001118,ENSGMOP00000001688,ENSGMOP00000002985,ENSGMOP00000003381,LAMA3,ENSGMOP00000003514,ENSGMOP00000003547,ENSGMOP00000003809,ENSGMOP00000003815,ENSGMOP00000003911,ENSGMOP00000003929,ENSGMOP00000003952,ENSGMOP00000004711,ENSGMOP00000004735,ENSGMOP00000005232,ENSGMOP00000005306,ENSGMOP00000005743,ENSGMOP00000006307,ENSGMOP00000006350,ENSGMOP00000006481,ENSGMOP00000006558,ENSGMOP00000006664,LPP,ENSGMOP00000007249,ENSGMOP00000007440,ENSGMOP00000007568,ENSGMOP00000007573,ENSGMOP00000007617,ENSGMOP00000007861,ENSGMOP00000007903,ENSGMOP00000007919,ENSGMOP00000008916,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000009058,ENSGMOP00000009077,ENSGMOP00000010033,ENSGMOP00000010933,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000011826,ENSGMOP00000012990,ENSGMOP00000013161,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000013726,ENSGMOP00000013986,ENSGMOP00000014278,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000015596,ENSGMOP00000015958,ENSGMOP00000016134,ENSGMOP00000016347,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016804,ENSGMOP00000016837,nr2e1,ENSGMOP00000017279,ENSGMOP00000017317,ENSGMOP00000017401,ENSGMOP00000017484,ENSGMOP00000017523,ENSGMOP00000017545,ENSGMOP00000018687,ENSGMOP00000019065,ENSGMOP00000019499,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000020316,ENSGMOP00000020324,ENSGMOP00000021060,ENSGMOP00000021771
