"","sample","fastq_1","fastq_2"
"59","Mae-502_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-502_S61_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-502_S61_R2_001.fastq.gz"
"60","Mae-509_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-509_S62_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-509_S62_R2_001.fastq.gz"
"61","Mae-512_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-512_S63_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-512_S63_R2_001.fastq.gz"
"62","Mae-519_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-519_S64_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-519_S64_R2_001.fastq.gz"
"63","Mae-520_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-520_S65_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-520_S65_R2_001.fastq.gz"
"64","Mae-524_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-524_S66_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-524_S66_R2_001.fastq.gz"
"65","Mae-525_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-525_S67_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-525_S67_R2_001.fastq.gz"
"66","Mae-533_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-533_S68_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-533_S68_R2_001.fastq.gz"
"67","Mae-535_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-535_S69_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-535_S69_R2_001.fastq.gz"
"68","Mae-537_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-537_S70_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-537_S70_R2_001.fastq.gz"
