"Name","cluster"
"MEAE_00000381","2"
"MEAE_00000395","2"
"MEAE_00000396","2"
"MEAE_00000409","2"
"MEAE_00000411","2"
"MEAE_00000425","1"
"MEAE_00000425","1"
"MEAE_00000425","2"
"MEAE_00000425","2"
"MEAE_00000426","2"
"MEAE_00000428","2"
"MEAE_00000428","2"
"MEAE_00000428","2"
"MEAE_00000435","2"
"MEAE_00000440","1"
"MEAE_00000441","1"
"MEAE_00000445","1"
"MEAE_00000445","1"
"MEAE_00000445","1"
"MEAE_00000446","1"
"MEAE_00000461","1"
"MEAE_00000461","1"
"MEAE_00000461","1"
"MEAE_00000461","1"
"MEAE_00000461","1"
"MEAE_00000462","1"
"MEAE_00000464","1"
"MEAE_00000462","1"
"MEAE_00000464","1"
"MEAE_00000462","1"
"MEAE_00000462","1"
"MEAE_00000462","1"
"MEAE_00000472","2"
"MEAE_00000472","2"
"MEAE_00000473","2"
"MEAE_00000473","1"
"MEAE_00000473","1"
"MEAE_00000474","1"
"MEAE_00000479","1"
"MEAE_00000478","1"
"MEAE_00000478","1"
"MEAE_00000486","1"
"MEAE_00000486","2"
"MEAE_00000493","2"
"MEAE_00000492","2"
"MEAE_00000495","2"
"MEAE_00000500","2"
"MEAE_00000501","2"
"MEAE_00000500","2"
"MEAE_00000501","2"
"MEAE_00000500","2"
"MEAE_00000501","2"
"MEAE_00000500","2"
"MEAE_00000501","2"
"MEAE_00000503","1"
"MEAE_00000504","1"
"MEAE_00000505","1"
"MEAE_00000509","1"
"MEAE_00000509","1"
"MEAE_00000512","1"
"MEAE_00000509","1"
"MEAE_00000509","1"
"MEAE_00000515","2"
"MEAE_00000509","2"
"MEAE_00000516","1"
"MEAE_00000509","1"
"MEAE_00000516","1"
"MEAE_00000509","1"
"MEAE_00000516","1"
"MEAE_00000509","1"
"MEAE_00000516","1"
"MEAE_00000509","1"
"MEAE_00000518","1"
"MEAE_00000509","1"
"MEAE_00000518","1"
"MEAE_00000509","1"
"MEAE_00000509","1"
"MEAE_00000524","1"
"MEAE_00000524","1"
"MEAE_00000524","2"
"MEAE_00000527","2"
"MEAE_00000527","1"
"MEAE_00000527","1"
"MEAE_00000529","2"
"MEAE_00000530","2"
"MEAE_00000529","1"
"MEAE_00000539","2"
"MEAE_00000539","2"
"MEAE_00000539","2"
"MEAE_00000547","1"
"MEAE_00000547","1"
"MEAE_00000547","2"
"MEAE_00000547","2"
"MEAE_00000549","2"
"MEAE_00000549","2"
"MEAE_00000556","1"
"MEAE_00000556","1"
"MEAE_00000556","1"
"MEAE_00000561","1"
"MEAE_00000563","1"
"MEAE_00000571","1"
"MEAE_00000572","1"
"MEAE_00000571","1"
"MEAE_00000572","1"
"MEAE_00000571","1"
"MEAE_00000572","1"
"MEAE_00000594","1"
"MEAE_00000594","1"
"MEAE_00000607","2"
"MEAE_00000607","1"
"MEAE_00000607","1"
"MEAE_00000608","1"
"MEAE_00000608","2"
"MEAE_00000617","1"
"MEAE_00000624","1"
"MEAE_00000626","1"
"MEAE_00000630","1"
"MEAE_00000630","1"
"MEAE_00000630","1"
"MEAE_00000635","1"
"MEAE_00000635","1"
"MEAE_00000635","2"
"MEAE_00000636","1"
"MEAE_00000636","1"
"MEAE_00000636","1"
"MEAE_00000636","2"
"MEAE_00000638","1"
"MEAE_00000640","1"
"MEAE_00000638","1"
"MEAE_00000640","1"
"MEAE_00000638","1"
"MEAE_00000638","1"
"MEAE_00000652","1"
"MEAE_00000654","1"
"MEAE_00000655","1"
"MEAE_00000654","1"
"MEAE_00000655","1"
"MEAE_00000654","2"
"MEAE_00000654","2"
"MEAE_00000656","1"
"MEAE_00000659","1"
"MEAE_00000659","1"
"MEAE_00000666","2"
"MEAE_00000667","2"
"MEAE_00000666","2"
"MEAE_00000667","2"
"MEAE_00000672","2"
"MEAE_00000673","2"
"MEAE_00000672","2"
"MEAE_00000673","2"
"MEAE_00000672","1"
"MEAE_00000672","1"
"MEAE_00000672","1"
"MEAE_00000678","1"
"MEAE_00000682","1"
"MEAE_00000682","1"
"MEAE_00000692","2"
"MEAE_00000693","1"
"MEAE_00000693","2"
"MEAE_00000697","2"
"MEAE_00000698","2"
"MEAE_00000703","1"
"MEAE_00000704","1"
"MEAE_00000705","1"
"MEAE_00000705","1"
"MEAE_00000706","2"
"MEAE_00000706","2"
"MEAE_00000707","2"
"MEAE_00000706","2"
"MEAE_00000707","2"
"MEAE_00000706","2"
"MEAE_00000707","2"
"MEAE_00000706","2"
"MEAE_00000706","2"
"MEAE_00000706","1"
"MEAE_00000706","1"
"MEAE_00000706","1"
"MEAE_00000706","1"
"MEAE_00000710","1"
"MEAE_00000706","1"
